Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,171,1011,10,8,0.9447513812154696,0.9553072625698324,0.9500000000000001
Homicide,166,1018,3,13,0.9822485207100592,0.9273743016759777,0.9540229885057472
Robbery,190,974,17,19,0.9178743961352657,0.9090909090909091,0.9134615384615384
Physical Injuries,173,1011,8,8,0.9558011049723757,0.9558011049723757,0.9558011049723757
Rape,200,988,12,0,0.9433962264150944,1.0,0.970873786407767
Theft,157,1035,7,1,0.9573170731707317,0.9936708860759493,0.9751552795031055
Carnapping,148,1049,3,0,0.9801324503311258,1.0,0.9899665551839464
Others,110,1047,0,43,1.0,0.7189542483660131,0.8365019011406843
