Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,126,1008,13,53,0.9064748201438849,0.7039106145251397,0.7924528301886792
Homicide,114,986,35,65,0.7651006711409396,0.6368715083798883,0.6951219512195123
Robbery,108,990,1,101,0.9908256880733946,0.5167464114832536,0.679245283018868
Physical Injuries,154,1003,16,27,0.9058823529411765,0.850828729281768,0.8774928774928774
Rape,172,998,2,28,0.9885057471264368,0.86,0.9197860962566845
Theft,110,1042,0,48,1.0,0.6962025316455697,0.8208955223880596
Carnapping,148,1000,52,0,0.74,1.0,0.8505747126436781
Others,68,1047,0,85,1.0,0.4444444444444444,0.6153846153846153
