Model,80-200 characters,201-400 characters,401-600 characters
BERT model,0.14823820747312952,0.15028065623388743,0.15043044776916503
XLNET model,0.19543496507113098,0.1987289564852393,0.19978517532348633
Fine-tuned BERT model,0.17138957977294922,0.17619987437167503,0.17664722315470377
Fine-tuned XLNet model,0.18397704918032787,0.18489598278335725,0.18691653333333336
