Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,175,1020,1,4,0.9943181818181818,0.9776536312849162,0.9859154929577464
Homicide,177,1019,2,2,0.9888268156424581,0.9888268156424581,0.9888268156424581
Robbery,179,989,2,30,0.988950276243094,0.8564593301435407,0.9179487179487179
Physical Injuries,156,1019,0,25,1.0,0.861878453038674,0.9258160237388724
Rape,197,999,1,3,0.9949494949494949,0.985,0.9899497487437187
Theft,155,1041,1,3,0.9935897435897436,0.9810126582278481,0.9872611464968154
Carnapping,148,1051,1,0,0.9932885906040269,1.0,0.9966329966329966
Others,151,1030,17,2,0.8988095238095238,0.9869281045751634,0.9408099688473521
