Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,0,980,41,179,0.0,0.0,0.0
Homicide,178,27,994,1,0.15187713310580206,0.994413407821229,0.26350851221317545
Robbery,0,989,2,209,0.0,0.0,0.0
Physical Injuries,151,309,710,30,0.1753774680603949,0.8342541436464088,0.289827255278311
Rape,200,0,1000,0,0.16666666666666666,1.0,0.2857142857142857
Theft,35,422,620,123,0.05343511450381679,0.22151898734177214,0.08610086100861007
Carnapping,19,927,125,129,0.13194444444444445,0.12837837837837837,0.13013698630136986
Others,145,40,1007,8,0.12586805555555555,0.9477124183006536,0.2222222222222222
