Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,173,1021,0,6,1.0,0.9664804469273743,0.9829545454545454
Homicide,178,1021,0,1,1.0,0.994413407821229,0.9971988795518207
Robbery,194,986,5,15,0.9748743718592965,0.9282296650717703,0.9509803921568627
Physical Injuries,165,1018,1,16,0.9939759036144579,0.9116022099447514,0.9510086455331411
Rape,199,998,2,1,0.9900497512437811,0.995,0.9925187032418954
Theft,154,1040,2,4,0.9871794871794872,0.9746835443037974,0.980891719745223
Carnapping,148,1051,1,0,0.9932885906040269,1.0,0.9966329966329966
Others,149,1046,1,4,0.9933333333333333,0.9738562091503268,0.9834983498349835
