Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,146,1020,1,33,0.9931972789115646,0.8156424581005587,0.8957055214723927
Homicide,124,1021,0,55,1.0,0.6927374301675978,0.8184818481848186
Robbery,171,989,2,38,0.9884393063583815,0.8181818181818182,0.8952879581151832
Physical Injuries,169,1006,13,12,0.9285714285714286,0.9337016574585635,0.931129476584022
Rape,195,997,3,5,0.9848484848484849,0.975,0.9798994974874371
Theft,158,1038,4,0,0.9753086419753086,1.0,0.9875
Carnapping,146,1050,2,2,0.9864864864864865,0.9864864864864865,0.9864864864864865
Others,148,1026,21,5,0.8757396449704142,0.9673202614379085,0.9192546583850931
