Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,147,1019,2,32,0.9865771812080537,0.8212290502793296,0.8963414634146342
Homicide,155,1000,21,24,0.8806818181818182,0.8659217877094972,0.8732394366197184
Robbery,182,976,15,27,0.9238578680203046,0.8708133971291866,0.896551724137931
Physical Injuries,168,1003,16,13,0.9130434782608695,0.9281767955801105,0.9205479452054794
Rape,195,991,9,5,0.9558823529411765,0.975,0.9653465346534653
Theft,156,1039,3,2,0.9811320754716981,0.9873417721518988,0.9842271293375394
Carnapping,146,1044,8,2,0.948051948051948,0.9864864864864865,0.9668874172185431
Others,105,1047,0,48,1.0,0.6862745098039216,0.813953488372093
